10023867351, Planar, PSS-co-MA/PEG, Acrylate, Circular, KCl, DI water, DMSO, NaCl, nM, nM, 2,33, 3,0, 4,0, 3,0, 2,0, 4,0, 4,0, 1,0
Number of channels: 18
00:00:03, 15, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:03, 16, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:03, 17, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 0, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 1, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 2, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 3, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 4, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 5, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 6, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 7, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 8, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 9, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 10, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 11, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 12, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 13, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 14, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 15, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 16, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 17, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 0, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 1, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 2, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 3, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 4, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 5, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 6, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 7, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 8, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 9, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 10, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 11, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 12, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 13, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 14, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 15, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 16, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 17, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 0, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 1, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 2, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 3, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
00:00:04, 4, 10, 0, 0, VOLTAGE, ON, NOT_IMPLEMENTED
